Company,Year,Total Assets (Million USD),Total Liabilities (Million USD),Total Equity (Million USD),Leverage,Revenue Growth YoY (%),"Net Income, Adj",ROA,ROE,ROE_sign_flip_risk,Size,Region
New China Life,2013,93491.6727,86995.4068,6496.2659,13.391601904718831,14.788,719.2913,0.007693640291452396,0.11072380827268784,0,11.445627649278434,Asia
New China Life,2014,103700.261,95908.9152,7791.3458,12.309672508695481,10.8231,1041.2186,0.010040655538947969,0.13363783699601678,0,11.549259911090054,Asia
New China Life,2015,101820.4239,92904.6628,8915.7611,10.42027279084452,10.7344,1300.8886,0.01277630312438721,0.14590886693902105,0,11.530965990676888,Asia
New China Life,2016,100750.897,92231.0763,8519.8207,10.825471514911106,-8.3109,683.3364,0.0067824348998103716,0.0802054907094465,0,11.520406382995102,Asia
New China Life,2017,109160.5576,99367.1139,9793.4437,10.146289389502488,-0.8235,795.4718,0.007287172376994161,0.08122493214516566,0,11.600575082907433,Asia
New China Life,2018,106698.9896,97162.6081,9536.3815,10.188624280603706,6.2076,1198.8765,0.011236062351615747,0.12571608004566515,0,11.577766967704239,Asia
New China Life,2019,126227.1304,114097.8545,12129.2759,9.406815002039817,13.2525,2108.8566,0.01670684101997141,0.17386500376333264,0,11.745838185382272,Asia
New China Life,2020,153875.4749,138297.5855,15577.8894,8.877812773532721,18.4512,2075.3076,0.013486928968691685,0.13322135924267123,0,11.943898949753317,Asia
New China Life,2021,177423.42,160351.0014,17072.4186,9.392400992323372,7.9315,2318.1722,0.013065762118665055,0.13578463920747585,0,12.086294358182334,Asia
New China Life,2022,176113.4143,161908.2133,14205.2011,11.397812122490825,-50.5197,3750.3747,0.021295224528504297,0.2640141926607431,0,12.078883465915945,Asia
New China Life,2023,197608.4324,182809.2435,14799.1889,12.352652887618728,-34.3373,1262.9017,0.006390930208097739,0.08533587269772602,0,12.19404273747446,Asia
New China Life,2024,231840.5622,218651.944,13188.6182,16.578836439438362,84.2419,4123.1287,0.017784328423268464,0.3126278005378911,0,12.353805182499809,Asia
People Insurance China,2012,110449.0778,97082.2775,13366.8003,7.262940668007136,8.8989,1036.4358,0.009383833895623526,0.07753806271797148,0,11.612309859334003,Asia
People Insurance China,2013,124796.6096,109133.2364,15663.3732,6.967415958651869,18.5617,1310.8523,0.010503909554927525,0.08368901661616542,0,11.734440567881776,Asia
People Insurance China,2014,126014.2733,105784.0642,20230.2091,5.229014869648579,15.3479,2120.783,0.016829704639498167,0.10483248045122776,0,11.744150459676632,Asia
People Insurance China,2015,130014.3353,105783.8921,24230.4432,4.365743177986938,15.5023,3095.5633,0.023809399885460165,0.12775512500737088,0,11.775399994896722,Asia
People Insurance China,2016,134325.9795,109807.3404,24518.6391,4.478525090733931,9.8105,1660.3751,0.012360789075801976,0.06771889309305099,0,11.808024807586069,Asia
People Insurance China,2017,151829.0378,123107.7197,28721.318,4.286283787533706,8.5242,2379.1186,0.015669720591484904,0.08283458997250752,0,11.930510415505168,Asia
People Insurance China,2018,149979.6467,119987.4973,29992.1495,4.000630141564212,3.0479,1911.3867,0.012744307258059435,0.06372956696551543,0,11.918254875205186,Asia
People Insurance China,2019,162740.7588,127226.4985,35514.2603,3.582405980732196,10.5861,3203.1744,0.019682680747092594,0.09019403397231955,0,11.99991377689186,Asia
People Insurance China,2020,192435.3475,150525.1869,41910.1606,3.5916156069323195,5.5138,2893.019,0.015033719311884734,0.06902906022268976,0,12.167515519154477,Asia
