outcome,model,fixed_effects,covariance,term,N,firms,coefficient,SE,p_value,CI95_low,CI95_high,R_squared
"CAR[-2,+2]",M2_overall_sentiment,firm_FE,HC3,Overall_sentiment,61,6,-0.04632846141757331,0.04363554514412223,0.29309102353287536,-0.13381246210581887,0.04115553927067227,0.11829057996240677
"CAR[-2,+2]",M2_overall_sentiment,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.04632846141757331,0.03778628884494549,0.2747637391368622,-0.1434612091584973,0.05080428632335067,0.11829057996240677
"CAR[-2,+2]",M2_overall_sentiment,firm_year_FE,HC3,Overall_sentiment,61,6,-0.06364701286969207,0.057609826257397356,0.27539241557264105,-0.17982830008185557,0.052534274342471446,0.25071481631848125
"CAR[-2,+2]",M2_overall_sentiment,firm_year_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.06364701286969207,0.0466899611369954,0.23099953444562044,-0.1836673788750179,0.05637335313563377,0.25071481631848125
"CAR[-2,+2]",M2b_ESG_sentiment,pooled,HC3,ESG_sentiment,62,7,-0.0007830564555136893,0.014420251469114598,0.9568745265927101,-0.029627854062081554,0.028061741151054174,4.2342642186277146e-05
"CAR[-2,+2]",M2b_ESG_sentiment,pooled,firm_cluster_CR1,ESG_sentiment,62,7,-0.0007830564555136893,0.012664042772730586,0.952704083586055,-0.03177085279951508,0.0302047398884877,4.2342642186277146e-05
"CAR[-2,+2]",M2b_ESG_sentiment,firm_FE,HC3,ESG_sentiment,61,6,0.0036324290109417245,0.020243172951443497,0.8582640765743514,-0.03695268916661603,0.04421754718849948,0.08254400924550909
"CAR[-2,+2]",M2b_ESG_sentiment,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.0036324290109417245,0.013112630494744112,0.7928540425284325,-0.03007466075625831,0.03733951877814176,0.08254400924550909
"CAR[-2,+2]",M2b_ESG_sentiment,firm_year_FE,HC3,ESG_sentiment,61,6,-0.0004895046494025959,0.027407783110213094,0.9858331071796094,-0.05576256704589745,0.05478355774709226,0.2016824517840251
"CAR[-2,+2]",M2b_ESG_sentiment,firm_year_FE,firm_cluster_CR1,ESG_sentiment,61,6,-0.0004895046494025959,0.012614936436528746,0.9705486741841348,-0.03291723111085009,0.0319382218120449,0.2016824517840251
"CAR[-2,+2]",M3_specificity_overall,pooled,HC3,Specificity_mean,62,7,-0.013263930228842561,0.010312218368626091,0.2033859636456191,-0.0338986315223003,0.007370771064615174,0.03755849500719899
"CAR[-2,+2]",M3_specificity_overall,pooled,HC3,Overall_sentiment,62,7,-0.022998514633750994,0.026165010836936304,0.3829781437388574,-0.07535458038608996,0.02935755111858797,0.03755849500719899
"CAR[-2,+2]",M3_specificity_overall,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.013263930228842561,0.006212642347030645,0.07667903507848507,-0.028465718414717005,0.0019378579570318803,0.03755849500719899
"CAR[-2,+2]",M3_specificity_overall,pooled,firm_cluster_CR1,Overall_sentiment,62,7,-0.022998514633750994,0.028202972078788136,0.4459623169921033,-0.09200870125084863,0.046011671983346644,0.03755849500719899
"CAR[-2,+2]",M3_specificity_overall,firm_FE,HC3,Specificity_mean,61,6,-0.027068600827045222,0.017938661119460318,0.1372494883908281,-0.06304899852876711,0.008911796874676664,0.15672601153703725
"CAR[-2,+2]",M3_specificity_overall,firm_FE,HC3,Overall_sentiment,61,6,-0.03826824859512543,0.04414011596285473,0.3898655638109696,-0.12680210942048764,0.05026561223023677,0.15672601153703725
"CAR[-2,+2]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.027068600827045222,0.012701999891913325,0.08628930122912501,-0.059720131025452046,0.0055829293713616016,0.15672601153703725
"CAR[-2,+2]",M3_specificity_overall,firm_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.03826824859512543,0.035575422088648286,0.33120786854810624,-0.12971778241129964,0.053181285221048764,0.15672601153703725
"CAR[-2,+2]",M3_specificity_overall,firm_year_FE,HC3,Specificity_mean,61,6,-0.027239184797648947,0.028177934185080626,0.3392352622881312,-0.08410455819978252,0.02962618860448462,0.28208131365805644
"CAR[-2,+2]",M3_specificity_overall,firm_year_FE,HC3,Overall_sentiment,61,6,-0.04944239797421816,0.05960274107653036,0.4114933533667877,-0.16972559917858937,0.07084080323015307,0.28208131365805644
"CAR[-2,+2]",M3_specificity_overall,firm_year_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.027239184797648947,0.010785689907360896,0.052819467833987055,-0.05496468335831679,0.0004863137630188967,0.28208131365805644
"CAR[-2,+2]",M3_specificity_overall,firm_year_FE,firm_cluster_CR1,Overall_sentiment,61,6,-0.04944239797421816,0.04624184275747681,0.3338514590067763,-0.16831083901293872,0.0694260430645024,0.28208131365805644
"CAR[-2,+2]",M3b_specificity_ESG,pooled,HC3,Specificity_mean,62,7,-0.015278654357254028,0.010576612988376189,0.15386885356563398,-0.03644240806282312,0.005885099348315059,0.01573399693774702
"CAR[-2,+2]",M3b_specificity_ESG,pooled,HC3,ESG_sentiment,62,7,0.0005121625574390333,0.014174590372270996,0.9712987286066146,-0.02785112726376968,0.028875452378647744,0.01573399693774702
"CAR[-2,+2]",M3b_specificity_ESG,pooled,firm_cluster_CR1,Specificity_mean,62,7,-0.015278654357254028,0.005183453598857653,0.02569346013769324,-0.027962108398158908,-0.0025952003163491454,0.01573399693774702
"CAR[-2,+2]",M3b_specificity_ESG,pooled,firm_cluster_CR1,ESG_sentiment,62,7,0.0005121625574390333,0.01460261665694503,0.9731589856848356,-0.03521915319816683,0.036243478313044905,0.01573399693774702
"CAR[-2,+2]",M3b_specificity_ESG,firm_FE,HC3,Specificity_mean,61,6,-0.032125031009710925,0.01831339248849748,0.08517977745544177,-0.06885704465419909,0.004606982634777233,0.13645975858947434
"CAR[-2,+2]",M3b_specificity_ESG,firm_FE,HC3,ESG_sentiment,61,6,0.011272582389012024,0.017317808062680375,0.5179076011183787,-0.02346254178039264,0.04600770655841668,0.13645975858947434
"CAR[-2,+2]",M3b_specificity_ESG,firm_FE,firm_cluster_CR1,Specificity_mean,61,6,-0.032125031009710925,0.01158009196924471,0.03917186426574206,-0.06189260508084933,-0.0023574569385725157,0.13645975858947434
"CAR[-2,+2]",M3b_specificity_ESG,firm_FE,firm_cluster_CR1,ESG_sentiment,61,6,0.011272582389012024,0.014372914762953146,0.4683779791801792,-0.025674171225784356,0.0482193360038084,0.13645975858947434
