Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]",Specificity source company,Specificity_mean,total_sent,ESGSentiment_Corporate,Corporate_ESG_share,Verified_ESG_share,_merge,exclusion_reason,regression_eligible,COVID_period,Specificity_z,log_total_sent
"Prudential Financial, Inc.",2023,2024-03-28,221.0,0.0005478571511512,1.0686348707812463,-0.0026407481748777,0.0067984435871444,-0.0042797710181964,0.0026407481748777,Prudentials,1.411764705882353,52.0,0.5294117647058824,0.3269230769230769,0.0961538461538461,both,,True,False,-0.12093539240018392,3.9512437185814275
The Allstate Corporation,2012,2013-04-12,221.0,0.0015977278545396,0.3036076519539356,-0.010915452394885,-0.0148382759888649,-0.0170749599028629,0.010915452394885,Allstate,2.0,51.0,0.75,0.1568627450980392,0.0784313725490196,both,,True,False,2.4415573918451496,3.9318256327243257
The Allstate Corporation,2013,2014-04-11,221.0,0.0003971404469515,0.2334507662391829,-0.0169048853849411,-0.0040255509851661,-0.0057274686317652,0.0169048853849411,Allstate,1.4444444444444444,49.0,0.5555555555555556,0.1836734693877551,0.0408163265306122,both,,True,False,0.02142531783566747,3.8918202981106265
The Allstate Corporation,2014,2015-04-10,221.0,0.0010650199275436,0.4482429854488714,0.0013405102264257,-0.0089336699365202,-0.0024871138603727,0.0013405102264257,Allstate,1.4444444444444444,49.0,0.5555555555555556,0.1836734693877551,0.0408163265306122,both,,True,False,0.02142531783566747,3.8918202981106265
The Allstate Corporation,2015,2016-04-08,221.0,-2.3694468192224313e-05,0.6411500713224434,0.0005643486080047,-0.0049512150151734,0.0028209758441014,0.0005643486080047,Allstate,1.1666666666666667,44.0,0.1666666666666666,0.1363636363636363,0.0227272727272727,both,,True,False,-1.1886407191690733,3.784189633918261
The Allstate Corporation,2016,2017-04-07,221.0,0.0006867171591787,0.4529875019701257,-0.0033095023621435,-0.0096498273664616,-0.002634604042619,0.0033095023621435,Allstate,1.6666666666666667,55.0,0.5,0.3272727272727272,0.1272727272727272,both,,True,False,0.9894781474394608,4.007333185232471
The Allstate Corporation,2017,2018-04-06,221.0,0.0001532743760044,0.7735559404794317,-0.0072135541138712,0.0042961733006093,-0.0070354651727415,0.0072135541138712,Allstate,1.0,16.0,0.0,0.25,0.0,both,,True,False,-1.9146803413719182,2.772588722239781
The Allstate Corporation,2018,2019-04-05,221.0,-8.371162109306822e-05,0.7556725459252625,-0.0120561880053261,-0.0071224885823398,-0.0159658538429917,0.0120561880053261,Allstate,1.75,25.0,0.5,0.32,0.16,both,,True,False,1.3524979585408827,3.2188758248682006
The Allstate Corporation,2019,2020-04-03,221.0,0.0007413215442917,0.8296789711917598,0.0238829233014126,-0.0101698827810586,0.0487467248332851,0.0238829233014126,Allstate,1.5,34.0,0.5714285714285714,0.4117647058823529,0.1470588235294117,both,,True,True,0.2634385252366158,3.5263605246161616
The Allstate Corporation,2020,2021-04-09,221.0,-0.0008819508187576,0.9033877574028292,0.0185342409071176,0.0013990027951641,0.0181567986336442,0.0185342409071176,Allstate,1.6111111111111112,45.0,0.5,0.4,0.1333333333333333,both,,True,False,0.7474649400385125,3.8066624897703196
The Allstate Corporation,2021,2022-04-08,221.0,0.0002888052230386,0.5682428147127183,0.0344921293168348,0.0502345266421007,0.0272509760106626,0.0344921293168348,Allstate,1.4210526315789471,51.0,0.4210526315789473,0.3725490196078431,0.0980392156862745,both,,True,False,-0.08047498001736432,3.9318256327243257
The Allstate Corporation,2022,2023-04-11,221.0,7.377989997552177e-05,0.6831072893082829,0.0063155393017884,-0.0194494672576052,-0.0006964564670205,0.0063155393017884,Allstate,1.5,75.0,0.4166666666666667,0.32,0.12,both,,True,False,0.2634385252366158,4.31748811353631
The Allstate Corporation,2023,2024-04-01,221.0,0.0015756679417208,0.4758492082398709,0.0158601151779649,0.0070644929567493,-0.0012289057582999,0.0158601151779649,Allstate,1.7058823529411764,139.0,0.4705882352941176,0.2446043165467626,0.1079136690647482,both,,True,False,1.1603109997224825,4.9344739331306915
The Progressive Corporation,2012,2013-04-18,221.0,0.0006215184620003,0.1683629577430755,-0.0077747102959229,-0.0014845481755649,0.000915551433494,0.0077747102959229,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2013,2014-04-17,221.0,4.863066985195368e-05,0.2317964740204937,-0.0040256026273373,-0.0109592086171308,-0.0069222094330131,0.0040256026273373,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2014,2015-04-16,221.0,0.0003666116258398,0.65152043329756,0.0043695453299364,0.0037159346587669,-0.0112765494517207,0.0043695453299364,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2015,2016-04-14,221.0,0.0013096508997013,0.6799925401634598,-0.0494431345674798,-0.0428238297125208,-0.039288639281634,0.0494431345674798,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2016,2017-04-13,221.0,0.0005853767151729,0.5577474907643738,0.0014528329470033,-0.0150650946529353,0.006210984559835,0.0014528329470033,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2017,2018-04-12,221.0,0.0013979172799804,0.6911998073058548,-0.0086612112799258,-0.0050992093966504,-0.0040208908080683,0.0086612112799258,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2018,2019-04-11,221.0,0.0010184007953927,0.9964110026975712,0.0024436967697827,-0.005149263604536,-0.0005521957502426,0.0024436967697827,Progressive,1.434782608695652,184.0,0.3043478260869565,0.125,0.0326086956521739,both,,True,False,-0.020663935625367193,5.214935757608986
The Progressive Corporation,2019,2020-04-09,221.0,0.0004056140316189,0.8563057444964005,-0.0086129189907798,0.0061125707008614,-0.0170081600411318,0.0086129189907798,Progressive,1.4871794871794872,183.0,0.3076923076923077,0.2131147540983606,0.0710382513661202,both,,True,True,0.20758932352870488,5.209486152841421
The Progressive Corporation,2020,2021-04-08,221.0,-0.0002513134191903,0.6423672041685577,-0.0041641344601157,-0.0061325114963407,-0.008549906872295,0.0041641344601157,,,,,,,left_only,No narrative firm-year output,False,False,,
The Progressive Corporation,2021,2022-04-07,221.0,0.0004023915765541,0.435763348342776,0.0411680086766424,0.0531353104320012,0.0127970356900866,0.0411680086766424,Progressive,1.4081632653061225,187.0,0.4081632653061224,0.2620320855614973,0.0855614973262032,both,,True,False,-0.13662412373229857,5.231108616854587
The Progressive Corporation,2022,2023-04-06,221.0,0.0011885059105375,0.5905206403381164,0.0294130476893156,0.0203301312996707,0.0124388124788277,0.0294130476893156,Progressive,1.6231884057971016,274.0,0.3623188405797101,0.2518248175182482,0.1167883211678832,both,,True,False,0.8000765068648058,5.6131281063880705
The Progressive Corporation,2023,2024-04-04,221.0,0.0014740567320638,-0.0216523494993317,0.0007427619360413,-0.0048409437184114,-0.0018492382580527,0.0007427619360413,Progressive,1.5092592592592593,287.0,0.4351851851851852,0.3763066202090592,0.1533101045296167,both,,True,False,0.3037740598034407,5.659482215759621
"The Travelers Companies, Inc.",2012,2013-04-19,221.0,0.0014282202658467,0.2719238731609362,-0.0105478899378828,-0.0057070607880096,0.0028741322210687,0.0105478899378828,Travelers,1.761904761904762,113.0,0.3809523809523809,0.1858407079646017,0.1150442477876106,both,,True,False,1.4043579315553725,4.727387818712341
"The Travelers Companies, Inc.",2013,2014-04-21,221.0,-6.140352146508164e-05,0.1911445469483599,-0.0003436437919004,0.0213040270080478,0.002127257059677,0.0003436437919004,Travelers,1.8666666666666667,71.0,0.4,0.2112676056338028,0.1126760563380281,both,,True,False,1.8607256940828742,4.2626798770413155
