Company,Fiscal Year,Event Date (adjusted),Estimation N,Alpha,Beta,"CAR[-1,+1]","CAR[-2,+2]","CAR[0,+1]","|CAR|[-1,+1]","CAR[0,+5]","CAR[0,+20]",total_sentences,positive_share,negative_share,Overall_sentiment,ESG_sentences,ESG_positive_share,ESG_negative_share,ESG_sentiment,Specificity_mean,Specificity_all_flagged_mean,specificity_sentences_classified,specificity_primary_sentences,source_company,_merge,exclusion_reason,regression_eligible,COVID_period
The Allstate Corporation,2015,2016-04-08,221,-2.3694468192224313e-05,0.6411500713224434,0.0005643486080047,-0.0049512150151734,0.0028209758441014,0.0005643486080047,-0.015072196507815291,0.0031954632319117857,44.0,0.5681818181818182,0.0909090909090909,0.4772727272727273,7.0,0.1428571428571428,0.1428571428571428,0.0,1.1666666666666667,1.0,7.0,6.0,Allstate,both,,True,False
The Allstate Corporation,2016,2017-04-07,221,0.0006867171591787,0.4529875019701257,-0.0033095023621435,-0.0096498273664616,-0.002634604042619,0.0033095023621435,-0.002850743227452839,0.013449847795046349,55.0,0.6,0.1272727272727272,0.4727272727272727,20.0,0.6,0.05,0.5499999999999999,1.6666666666666667,1.5,20.0,18.0,Allstate,both,,True,False
The Allstate Corporation,2017,2018-04-06,221,0.0001532743760044,0.7735559404794317,-0.0072135541138712,0.0042961733006093,-0.0070354651727415,0.0072135541138712,-0.011750957227991467,-0.0348551843725374,16.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,10.0,4.0,Allstate,both,,True,False
The Allstate Corporation,2018,2019-04-05,221,-8.371162109306822e-05,0.7556725459252625,-0.0120561880053261,-0.0071224885823398,-0.0159658538429917,0.0120561880053261,0.0038837972004836623,0.008565119961834816,25.0,0.56,0.0,0.56,9.0,0.4444444444444444,0.0,0.4444444444444444,1.75,1.6666666666666667,9.0,8.0,Allstate,both,,True,False
The Allstate Corporation,2019,2020-04-03,221,0.0007413215442917,0.8296789711917598,0.0238829233014126,-0.0101698827810586,0.0487467248332851,0.0238829233014126,0.06523423065251321,0.0624756357401446,34.0,0.6470588235294118,0.0,0.6470588235294118,18.0,0.5,0.0,0.5,1.5,1.2222222222222223,18.0,14.0,Allstate,both,,True,True
The Allstate Corporation,2020,2021-04-09,221,-0.0008819508187576,0.9033877574028292,0.0185342409071176,0.0013990027951641,0.0181567986336442,0.0185342409071176,0.030896327705843003,0.1148124156684246,45.0,0.5555555555555556,0.0444444444444444,0.5111111111111112,21.0,0.5238095238095238,0.0952380952380952,0.4285714285714286,1.6111111111111112,1.4761904761904765,21.0,18.0,Allstate,both,,True,False
The Allstate Corporation,2021,2022-04-08,221,0.0002888052230386,0.5682428147127183,0.0344921293168348,0.0502345266421007,0.0272509760106626,0.0344921293168348,0.006853947338813301,-0.019457730470551545,51.0,0.5294117647058824,0.0392156862745098,0.4901960784313726,21.0,0.3809523809523809,0.0,0.3809523809523809,1.4210526315789471,1.2857142857142858,21.0,19.0,Allstate,both,,True,False
The Allstate Corporation,2022,2023-04-11,221,7.377989997552177e-05,0.6831072893082829,0.0063155393017884,-0.0194494672576052,-0.0006964564670205,0.0063155393017884,-0.02753511365570265,0.013375007379636993,75.0,0.5733333333333334,0.0933333333333333,0.48,28.0,0.4642857142857143,0.0357142857142857,0.4285714285714286,1.5,1.4642857142857142,28.0,24.0,Allstate,both,,True,False
The Allstate Corporation,2023,2024-04-01,221,0.0015756679417208,0.4758492082398709,0.0158601151779649,0.0070644929567493,-0.0012289057582999,0.0158601151779649,-0.009216192393499833,-0.038974847544608615,139.0,0.4460431654676259,0.1654676258992805,0.2805755395683453,54.0,0.3148148148148148,0.1481481481481481,0.1666666666666666,1.7058823529411764,1.537037037037037,54.0,34.0,Allstate,both,,True,False
The Progressive Corporation,2012,2013-04-18,221,0.0006215184620003,0.1683629577430755,-0.0077747102959229,-0.0014845481755649,0.000915551433494,0.0077747102959229,0.01351074939504543,0.02898065862139604,,,,,,,,,,,,,,left_only,missing firm-year narrative output,False,False
